icao_id,faa_id,name,lat,lon,elevation_m,state,country,market_group,has_metar,has_taf
KM19,M19,Newport Muni,35.64298,-91.17349,72.0,AR,US,AR,True,False
KM21,M21,Greenville/Muhlenberg Cnty,37.22909,-87.15424,127.0,KY,US,KY,True,False
KM25,M25,Mayfield/Grave Cnty,36.76401,-88.5829,157.0,KY,US,KY,True,False
KM30,M30,Metropolis Muni,37.18243,-88.74872,116.0,IL,US,IL,True,False
KM33,,Gallatin/Sumner Cnty,36.375,-86.41,168.0,TN,US,TN,True,False
KM39,,Mena Intermountain Muni,34.541,-94.192,320.0,AR,US,AR,False,False
KM40,M40,Aberdeen/Monroe Cnty,33.87555,-88.48719,68.0,MS,US,MS,True,False
KM46,M46,Colstrip Arpt,45.8524,-106.70606,1030.0,MT,US,MT,True,False
KM54,M54,Lebanon Muni,36.19317,-86.31395,168.0,TN,US,TN,True,False
KM63,,McGregor Range,32.077,-106.153,1256.0,NM,US,NM,True,False
KM75,M75,Malta Arpt,48.36858,-107.91878,687.0,MT,US,MT,True,False
KM89,,Arkadelphia/Florence Fld,34.101,-93.065,56.0,AR,US,AR,False,False
KM91,M91,Springfield/Robertson Cnty,36.53632,-86.91896,214.0,TN,US,TN,True,False
KMAC,MAC,Macon/Downtown Arpt,32.822,-83.562,133.0,GA,US,GA,False,False
KMAE,MAE,Madera Muni,36.98506,-120.11067,77.0,CA,US,CA,True,False
KMAF,MAF,Midland Intl,31.94754,-102.20858,874.0,TX,US,TX,True,True
KMAI,MAI,Marianna Muni,30.83696,-85.18351,33.0,FL,US,FL,True,False
KMAL,MAL,Malone/Dufort Arpt,44.854,-74.329,235.0,NY,US,NY,False,False
KMAN,MAN,Nampa Muni,43.58198,-116.52106,773.0,ID,US,ID,True,False
KMAO,MAO,Marion Cnty Arpt,34.18515,-79.3341,27.0,SC,US,SC,True,False
KMAW,MAW,Malden Rgnl,36.5945,-89.98654,88.0,MO,US,MO,True,False
KMAX,,Medford/NEXRAD,42.081,-122.717,2278.0,OR,US,OR,False,False
KMBG,MBG,Mobridge Muni,45.543,-100.404,515.0,SD,US,SD,True,True
KMBL,MBL,Manistee/Blacker Arpt,44.27139,-86.23775,187.0,MI,US,MI,True,True
KMBO,MBO,Madison/Campbell Fld,32.43846,-90.10144,98.0,MS,US,MS,True,False
KMBS,MBS,Saginaw Intl,43.5281,-84.08132,201.0,MI,US,MI,True,True
KMBT,MBT,Murfreesboro Muni,35.87668,-86.37926,187.0,TN,US,TN,True,False
KMBY,MBY,Moberly/Bradley Arpt,39.46397,-92.42438,263.0,MO,US,MO,True,False
KMCB,MCB,McComb/Lewis Fld,31.18227,-90.47207,124.0,MS,US,MS,True,True
KMCC,MCC,McClellan AFB,38.678,-121.403,21.0,CA,US,CA,True,True
KMCD,MCD,Mackinac Isl Arpt,45.866,-84.634,228.0,MI,US,MI,True,False
KMCE,MCE,Merced/Macready Fld,37.28597,-120.5179,49.0,CA,US,CA,True,True
KMCF,MCF,Tampa/MacDill AFB,27.85976,-82.51325,3.0,FL,US,FL,True,True
KMCI,MCI,Kansas City Intl,39.29747,-94.73087,308.0,MO,US,MO,True,True
KMCJ,MCJ,Houston/Rice Mem Hospital,29.7139,-95.3967,70.0,TX,US,TX,True,False
KMCK,MCK,McCook Muni,40.204,-100.59038,780.0,NE,US,NE,True,True
KMCN,MCN,Macon/Middle Georgia Rgnl,32.68887,-83.65294,104.0,GA,US,GA,True,True
KMCO,MCO,Orlando Intl,28.41822,-81.32413,27.0,FL,US,FL,True,True
KMCW,MCW,Mason City Muni,43.15426,-93.3262,363.0,IA,US,IA,True,True
KMCX,MCX,Monticello/White Cnty,40.7127,-86.7649,205.0,IN,US,IN,True,False
KMCZ,MCZ,Williamston/Martin Cnty,35.862,-77.178,23.0,NC,US,NC,False,False
KMDD,MDD,Midland Airpark,32.03587,-102.09951,853.0,TX,US,TX,True,False
KMDH,MDH,Murphysboro/S Illinois Arpt,37.7833,-89.24532,122.0,IL,US,IL,True,False
KMDJ,,Mississippi Can,28.643,-89.794,20.0,LA,US,LA,True,False
KMDQ,MDQ,Huntsville/Sharp Fld,34.866,-86.559,221.0,AL,US,AL,True,False
KMDS,MDS,Madison Muni,44.01406,-97.08167,524.0,SD,US,SD,True,False
KMDT,MDT,Harrisburg Intl,40.1962,-76.7725,91.0,PA,US,PA,True,True
KMDW,MDW,Chicago/Midway Intl,41.78412,-87.75515,186.0,IL,US,IL,True,True
KMDZ,MDZ,Medford/Taylor Cnty,45.10131,-90.30638,446.0,WI,US,WI,True,False
KME2,ME2,Farmington,44.679901,-67.264397,55.0,ME,US,ME,False,False
KMEB,MEB,Laurinberg/Maxton Arpt,34.79132,-79.36829,65.0,NC,US,NC,True,False
KMEG,,Memphis WFO,35.056,-89.986,87.0,TN,US,TN,True,False
KMEH,,Meacham ,45.512,-118.425,1138.0,OR,US,OR,True,False
KMEI,MEI,Meridian/Key Fld,32.33482,-88.75071,90.0,MS,US,MS,True,True
KMEJ,MEJ,Meade Muni,37.284,-100.357,768.0,KS,US,KS,False,False
KMEM,MEM,Memphis Intl,35.05639,-89.98641,78.0,TN,US,TN,True,True
KMER,MER,Castle AFB,37.392,-120.577,58.0,CA,US,CA,True,True
KMEV,MEV,Minden-Tahoe Arpt,38.99627,-119.75002,1437.0,NV,US,NV,True,True
KMEY,MEY,Mapleton/Whiting Mem,42.178,-95.793,340.0,IA,US,IA,False,False
KMEZ,MEZ,Mena Intermountain Muni,34.54137,-94.19183,320.0,AR,US,AR,True,False
KMFD,MFD,Mansfield/Lahm Rgnl,40.8204,-82.51767,394.0,OH,US,OH,True,True
KMFE,MFE,McAllen/Miller Intl,26.17911,-98.2445,29.0,TX,US,TX,True,True
KMFI,MFI,Marshfield Muni,44.63792,-90.18754,383.0,WI,US,WI,True,False
KMFR,MFR,Medford/Rogue Valley Intl,42.37503,-122.87702,397.0,OR,US,OR,True,True
KMFV,MFV,Melfa/Accomack Cnty,37.646,-75.763,13.0,VA,US,VA,True,False
KMGC,MGC,Michigan City Muni,41.70478,-86.81833,199.0,IN,US,IN,True,False
KMGE,MGE,Marietta/Dobbins AFB,33.91892,-84.52665,309.0,GA,US,GA,True,True
KMGG,MGG,Maple Lake Muni,45.23539,-93.9896,310.0,MN,US,MN,True,False
KMGJ,MGJ,Montgomery/Orange Cnty,41.50905,-74.26455,106.0,NY,US,NY,True,False
KMGM,MGM,Montgomery Rgnl,32.2997,-86.40743,64.0,AL,US,AL,True,True
KMGN,MGN,Harbor Springs Arpt,45.42412,-84.91299,205.0,MI,US,MI,True,False
KMGR,MGR,Moultrie Muni,31.08351,-83.8035,86.0,GA,US,GA,True,False
KMGW,MGW,Morgantown Muni,39.6498,-79.92064,375.0,WV,US,WV,True,True
KMGY,MGY,Dayton/Wright Brothers Arpt,39.59179,-84.22628,290.0,OH,US,OH,True,False
KMHE,MHE,Mitchell Muni,43.77425,-98.03839,397.0,SD,US,SD,True,False
KMHK,MHK,Manhattan Rgnl,39.13463,-96.67889,320.0,KS,US,KS,True,True
KMHL,MHL,Marshall Muni,39.09301,-93.20238,236.0,MO,US,MO,True,False
KMHN,,Mullen/Hooker Cnty,42.05,-101.07,994.0,NE,US,NE,False,False
KMHP,MHP,Metter Muni,32.374,-82.079,60.0,GA,US,GA,True,False
KMHR,MHR,Sacramento/Mather Fld,38.55995,-121.28401,30.0,CA,US,CA,True,True
KMHS,MHS,Mount Shasta,41.31493,-122.31711,1080.0,CA,US,CA,True,False
KMHT,MHT,Manchester Rgnl,42.92454,-71.43765,68.0,NH,US,NH,True,True
KMHV,MHV,Mojave Arpt,35.06264,-118.15723,841.0,CA,US,CA,True,False
KMHX,,Newport/NEXRAD,34.776,-76.877,9.0,NC,US,NC,False,False
KMIA,MIA,Miami Intl,25.78806,-80.31692,1.0,FL,US,FL,True,True
KMIB,MIB,Minot AFB,48.40623,-101.3413,505.0,ND,US,ND,True,True
KMIC,MIC,Minneapolis/Crystal Arpt,45.0623,-93.35108,263.0,MN,US,MN,True,False
KMIE,MIE,Muncie/Johnson Fld,40.23451,-85.39356,286.0,IN,US,IN,True,False
KMIO,MIO,Miami Muni,36.91284,-94.88932,245.0,OK,US,OK,True,False
KMIS,,Main Pass 140B,29.296,-88.842,24.0,MS,US,MS,True,False
KMIT,MIT,Shafter/Minter Fld,35.50637,-119.19154,127.0,CA,US,CA,False,False
KMIU,,Mustang Island,27.29,-96.74,0.0,TX,US,TX,True,False
KMIV,MIV,Millville Muni,39.36623,-75.07778,18.0,NJ,US,NJ,True,True
KMIW,MIW,Marshalltown Muni,42.11061,-92.91634,296.0,IA,US,IA,True,False
KMJD,MJD,Picayune Muni,30.49402,-89.65348,17.0,MS,US,MS,True,False
KMJQ,MJQ,Jackson Muni,43.64958,-94.98846,439.0,MN,US,MN,True,False
KMJX,MJX,Toms River/Miller Arpt,39.92348,-74.29703,22.0,NJ,US,NJ,True,False
KMKA,MKA,Miller Muni,44.52367,-98.95538,477.0,SD,US,SD,True,False
KMKC,MKC,Kansas City/Wheeler Downtown Arpt,39.12791,-94.58919,228.0,MO,US,MO,True,True
KMKE,MKE,Milwaukee/Mitchell Intl,42.95489,-87.9045,203.0,WI,US,WI,True,True
KMKG,MKG,Muskegon Cnty Arpt,43.17107,-86.23685,190.0,MI,US,MI,True,True
KMKJ,MKJ,Marion/Mountain Empire Arpt,36.89443,-81.34486,777.0,VA,US,VA,True,False
KMKL,MKL,Jackson/McKellar Rgnl,35.59332,-88.91697,130.0,TN,US,TN,True,True
KMKN,MKN,Comanche Cnty,31.92403,-98.59776,428.0,TX,US,TX,True,False
KMKO,MKO,Muskogee/Davis Fld,35.65765,-95.36584,184.0,OK,US,OK,True,False
KMKQ,MKQ,Green Canyon 433,27.5197,-90.0981,40.0,LA,US,LA,True,False
KMKS,MKS,Moncks Corner/Berkeley Cnty,33.18739,-80.03626,22.0,SC,US,SC,True,False
KMKT,MKT,Mankato Rgnl,44.21845,-93.91786,309.0,MN,US,MN,True,True
KMKV,MKV,Marksville Muni,31.09349,-92.07231,79.0,LA,US,LA,True,False
KMKX,,Milwaukee/NEXRAD,42.968,-88.55,293.0,WI,US,WI,False,False
KMKY,MKY,Marco Island Arpt,25.999,-81.674,2.0,FL,US,FL,True,False
KMLB,MLB,Melbourne Intl,28.09969,-80.63559,7.0,FL,US,FL,True,True
KMLC,MLC,McAlester Rgnl,34.88237,-95.78154,231.0,OK,US,OK,True,True
KMLD,MLD,Malad City Arpt,42.17,-112.289,1373.0,ID,US,ID,True,False
KMLE,MLE,Omaha/Millard Arpt,41.1981,-96.11305,318.0,NE,US,NE,True,False
KMLF,MLF,Milford Muni,38.42251,-113.01089,1537.0,UT,US,UT,True,False
KMLI,MLI,Moline/Quad City Intl,41.44816,-90.52365,174.0,IL,US,IL,True,True
KMLJ,MLJ,Milledgeville/Baldwin Cnty,33.153,-83.242,115.0,GA,US,GA,True,False
KMLP,MLP,Mullan Pass,47.4548,-115.67109,1837.0,ID,US,ID,True,False
KMLS,MLS,Miles City/Wiley Fld,46.42648,-105.88336,800.0,MT,US,MT,True,True
KMLT,MLT,Millinocket Muni,45.64776,-68.69245,121.0,ME,US,ME,True,False
KMLU,MLU,Monroe Rgnl,32.51552,-92.02995,22.0,LA,US,LA,True,True
