corridor,segment,TOD,DOW,Month,TI_score,SI_multiplier,LI_multiplier,CTS_score,CTS_toggle_%
Charlotte->South Florida,Light Jet,16:00-18:59,Monday,Feb,4,1.15,1.1,5.06,5.0
Charlotte->South Florida,Light Jet,19:00-23:59,Monday,Feb,1,1.15,1.1,1.265,-10.0
Charlotte->South Florida,Light Jet,00:00-06:59,Tuesday,Feb,1,1.15,1.1,1.265,-10.0
Charlotte->South Florida,Light Jet,07:00-08:59,Tuesday,Feb,2,1.15,1.1,2.53,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Tuesday,Feb,9,1.15,1.1,11.385,35.0
Charlotte->South Florida,Light Jet,13:00-15:59,Tuesday,Feb,7,1.15,1.1,8.855,30.0
Charlotte->South Florida,Light Jet,16:00-18:59,Tuesday,Feb,4,1.15,1.1,5.06,5.0
Charlotte->South Florida,Light Jet,19:00-23:59,Tuesday,Feb,1,1.15,1.1,1.265,-10.0
Charlotte->South Florida,Light Jet,00:00-06:59,Wednesday,Feb,1,1.15,1.1,1.265,-10.0
Charlotte->South Florida,Light Jet,07:00-08:59,Wednesday,Feb,3,1.15,1.1,3.795,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Wednesday,Feb,10,1.15,1.1,12.65,35.0
Charlotte->South Florida,Light Jet,13:00-15:59,Wednesday,Feb,8,1.15,1.1,10.12,35.0
Charlotte->South Florida,Light Jet,16:00-18:59,Wednesday,Feb,6,1.15,1.1,7.59,20.0
Charlotte->South Florida,Light Jet,19:00-23:59,Wednesday,Feb,1,1.15,1.1,1.265,-10.0
Charlotte->South Florida,Light Jet,00:00-06:59,Thursday,Feb,1,1.15,1.1,1.265,-10.0
Charlotte->South Florida,Light Jet,07:00-08:59,Thursday,Feb,4,1.15,1.1,5.06,5.0
Charlotte->South Florida,Light Jet,09:00-12:59,Thursday,Feb,10,1.15,1.1,12.65,35.0
Charlotte->South Florida,Light Jet,13:00-15:59,Thursday,Feb,8,1.15,1.1,10.12,35.0
Charlotte->South Florida,Light Jet,16:00-18:59,Thursday,Feb,5,1.15,1.1,6.325,15.0
Charlotte->South Florida,Light Jet,19:00-23:59,Thursday,Feb,1,1.15,1.1,1.265,-10.0
Charlotte->South Florida,Light Jet,00:00-06:59,Friday,Feb,1,1.15,1.1,1.265,-10.0
Charlotte->South Florida,Light Jet,07:00-08:59,Friday,Feb,3,1.15,1.1,3.795,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Friday,Feb,10,1.15,1.1,12.65,35.0
Charlotte->South Florida,Light Jet,13:00-15:59,Friday,Feb,9,1.15,1.1,11.385,35.0
Charlotte->South Florida,Light Jet,16:00-18:59,Friday,Feb,5,1.15,1.1,6.325,15.0
Charlotte->South Florida,Light Jet,19:00-23:59,Friday,Feb,1,1.15,1.1,1.265,-10.0
Charlotte->South Florida,Light Jet,00:00-06:59,Saturday,Feb,1,1.15,1.1,1.265,-10.0
Charlotte->South Florida,Light Jet,07:00-08:59,Saturday,Feb,3,1.15,1.1,3.795,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Saturday,Feb,10,1.15,1.1,12.65,35.0
Charlotte->South Florida,Light Jet,13:00-15:59,Saturday,Feb,6,1.15,1.1,7.59,20.0
Charlotte->South Florida,Light Jet,16:00-18:59,Saturday,Feb,4,1.15,1.1,5.06,5.0
Charlotte->South Florida,Light Jet,19:00-23:59,Saturday,Feb,1,1.15,1.1,1.265,-10.0
Charlotte->South Florida,Light Jet,00:00-06:59,Sunday,Feb,1,1.15,1.1,1.265,-10.0
Charlotte->South Florida,Light Jet,07:00-08:59,Sunday,Feb,3,1.15,1.1,3.795,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Sunday,Feb,10,1.15,1.1,12.65,35.0
Charlotte->South Florida,Light Jet,13:00-15:59,Sunday,Feb,10,1.15,1.1,12.65,35.0
Charlotte->South Florida,Light Jet,16:00-18:59,Sunday,Feb,7,1.15,1.1,8.855,30.0
Charlotte->South Florida,Light Jet,19:00-23:59,Sunday,Feb,1,1.15,1.1,1.265,-10.0
Charlotte->South Florida,Light Jet,00:00-06:59,Monday,Jan,1,1.15,1.1,1.265,-10.0
Charlotte->South Florida,Light Jet,07:00-08:59,Monday,Jan,3,1.15,1.1,3.795,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Monday,Jan,10,1.15,1.1,12.65,35.0
Charlotte->South Florida,Light Jet,13:00-15:59,Monday,Jan,8,1.15,1.1,10.12,35.0
Charlotte->South Florida,Light Jet,16:00-18:59,Monday,Jan,4,1.15,1.1,5.06,5.0
Charlotte->South Florida,Light Jet,19:00-23:59,Monday,Jan,1,1.15,1.1,1.265,-10.0
Charlotte->South Florida,Light Jet,00:00-06:59,Tuesday,Jan,1,1.15,1.1,1.265,-10.0
Charlotte->South Florida,Light Jet,07:00-08:59,Tuesday,Jan,2,1.15,1.1,2.53,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Tuesday,Jan,9,1.15,1.1,11.385,35.0
Charlotte->South Florida,Light Jet,13:00-15:59,Tuesday,Jan,7,1.15,1.1,8.855,30.0
Charlotte->South Florida,Light Jet,16:00-18:59,Tuesday,Jan,4,1.15,1.1,5.06,5.0
Charlotte->South Florida,Light Jet,19:00-23:59,Tuesday,Jan,1,1.15,1.1,1.265,-10.0
Charlotte->South Florida,Light Jet,00:00-06:59,Wednesday,Jan,1,1.15,1.1,1.265,-10.0
Charlotte->South Florida,Light Jet,07:00-08:59,Wednesday,Jan,3,1.15,1.1,3.795,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Wednesday,Jan,10,1.15,1.1,12.65,35.0
Charlotte->South Florida,Light Jet,13:00-15:59,Wednesday,Jan,8,1.15,1.1,10.12,35.0
Charlotte->South Florida,Light Jet,16:00-18:59,Wednesday,Jan,6,1.15,1.1,7.59,20.0
Charlotte->South Florida,Light Jet,19:00-23:59,Wednesday,Jan,1,1.15,1.1,1.265,-10.0
Charlotte->South Florida,Light Jet,00:00-06:59,Thursday,Jan,1,1.15,1.1,1.265,-10.0
Charlotte->South Florida,Light Jet,07:00-08:59,Thursday,Jan,4,1.15,1.1,5.06,5.0
Charlotte->South Florida,Light Jet,09:00-12:59,Thursday,Jan,10,1.15,1.1,12.65,35.0
Charlotte->South Florida,Light Jet,13:00-15:59,Thursday,Jan,8,1.15,1.1,10.12,35.0
Charlotte->South Florida,Light Jet,16:00-18:59,Thursday,Jan,5,1.15,1.1,6.325,15.0
Charlotte->South Florida,Light Jet,19:00-23:59,Thursday,Jan,1,1.15,1.1,1.265,-10.0
Charlotte->South Florida,Light Jet,00:00-06:59,Friday,Jan,1,1.15,1.1,1.265,-10.0
Charlotte->South Florida,Light Jet,07:00-08:59,Friday,Jan,3,1.15,1.1,3.795,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Friday,Jan,10,1.15,1.1,12.65,35.0
Charlotte->South Florida,Light Jet,13:00-15:59,Friday,Jan,9,1.15,1.1,11.385,35.0
Charlotte->South Florida,Light Jet,16:00-18:59,Friday,Jan,5,1.15,1.1,6.325,15.0
Charlotte->South Florida,Light Jet,19:00-23:59,Friday,Jan,1,1.15,1.1,1.265,-10.0
Charlotte->South Florida,Light Jet,00:00-06:59,Saturday,Jan,1,1.15,1.1,1.265,-10.0
Charlotte->South Florida,Light Jet,07:00-08:59,Saturday,Jan,3,1.15,1.1,3.795,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Saturday,Jan,10,1.15,1.1,12.65,35.0
Charlotte->South Florida,Light Jet,13:00-15:59,Saturday,Jan,6,1.15,1.1,7.59,20.0
Charlotte->South Florida,Light Jet,16:00-18:59,Saturday,Jan,4,1.15,1.1,5.06,5.0
Charlotte->South Florida,Light Jet,19:00-23:59,Saturday,Jan,1,1.15,1.1,1.265,-10.0
Charlotte->South Florida,Light Jet,00:00-06:59,Sunday,Jan,1,1.15,1.1,1.265,-10.0
Charlotte->South Florida,Light Jet,07:00-08:59,Sunday,Jan,3,1.15,1.1,3.795,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Sunday,Jan,10,1.15,1.1,12.65,35.0
Charlotte->South Florida,Light Jet,13:00-15:59,Sunday,Jan,10,1.15,1.1,12.65,35.0
Charlotte->South Florida,Light Jet,16:00-18:59,Sunday,Jan,7,1.15,1.1,8.855,30.0
Charlotte->South Florida,Light Jet,19:00-23:59,Sunday,Jan,1,1.15,1.1,1.265,-10.0
Charlotte->South Florida,Light Jet,00:00-06:59,Monday,Jul,1,0.75,1.1,0.8250000000000001,-15.0
Charlotte->South Florida,Light Jet,07:00-08:59,Monday,Jul,3,0.75,1.1,2.475,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Monday,Jul,10,0.75,1.1,8.25,25.0
Charlotte->South Florida,Light Jet,13:00-15:59,Monday,Jul,8,0.75,1.1,6.6000000000000005,15.0
Charlotte->South Florida,Light Jet,16:00-18:59,Monday,Jul,4,0.75,1.1,3.3000000000000003,0.0
Charlotte->South Florida,Light Jet,19:00-23:59,Monday,Jul,1,0.75,1.1,0.8250000000000001,-15.0
Charlotte->South Florida,Light Jet,00:00-06:59,Tuesday,Jul,1,0.75,1.1,0.8250000000000001,-15.0
Charlotte->South Florida,Light Jet,07:00-08:59,Tuesday,Jul,2,0.75,1.1,1.6500000000000001,-5.0
Charlotte->South Florida,Light Jet,09:00-12:59,Tuesday,Jul,9,0.75,1.1,7.425000000000001,20.0
Charlotte->South Florida,Light Jet,13:00-15:59,Tuesday,Jul,7,0.75,1.1,5.775,10.0
Charlotte->South Florida,Light Jet,16:00-18:59,Tuesday,Jul,4,0.75,1.1,3.3000000000000003,0.0
Charlotte->South Florida,Light Jet,19:00-23:59,Tuesday,Jul,1,0.75,1.1,0.8250000000000001,-15.0
Charlotte->South Florida,Light Jet,00:00-06:59,Wednesday,Jul,1,0.75,1.1,0.8250000000000001,-15.0
Charlotte->South Florida,Light Jet,07:00-08:59,Wednesday,Jul,3,0.75,1.1,2.475,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Wednesday,Jul,10,0.75,1.1,8.25,25.0
Charlotte->South Florida,Light Jet,13:00-15:59,Wednesday,Jul,8,0.75,1.1,6.6000000000000005,15.0
Charlotte->South Florida,Light Jet,16:00-18:59,Wednesday,Jul,6,0.75,1.1,4.95,5.0
Charlotte->South Florida,Light Jet,19:00-23:59,Wednesday,Jul,1,0.75,1.1,0.8250000000000001,-15.0
Charlotte->South Florida,Light Jet,00:00-06:59,Thursday,Jul,1,0.75,1.1,0.8250000000000001,-15.0
Charlotte->South Florida,Light Jet,07:00-08:59,Thursday,Jul,4,0.75,1.1,3.3000000000000003,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Thursday,Jul,10,0.75,1.1,8.25,25.0
Charlotte->South Florida,Light Jet,13:00-15:59,Thursday,Jul,8,0.75,1.1,6.6000000000000005,15.0
Charlotte->South Florida,Light Jet,16:00-18:59,Thursday,Jul,5,0.75,1.1,4.125,0.0
Charlotte->South Florida,Light Jet,19:00-23:59,Thursday,Jul,1,0.75,1.1,0.8250000000000001,-15.0
Charlotte->South Florida,Light Jet,00:00-06:59,Friday,Jul,1,0.75,1.1,0.8250000000000001,-15.0
Charlotte->South Florida,Light Jet,07:00-08:59,Friday,Jul,3,0.75,1.1,2.475,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Friday,Jul,10,0.75,1.1,8.25,25.0
Charlotte->South Florida,Light Jet,13:00-15:59,Friday,Jul,9,0.75,1.1,7.425000000000001,20.0
Charlotte->South Florida,Light Jet,16:00-18:59,Friday,Jul,5,0.75,1.1,4.125,0.0
Charlotte->South Florida,Light Jet,19:00-23:59,Friday,Jul,1,0.75,1.1,0.8250000000000001,-15.0
Charlotte->South Florida,Light Jet,00:00-06:59,Saturday,Jul,1,0.75,1.1,0.8250000000000001,-15.0
Charlotte->South Florida,Light Jet,07:00-08:59,Saturday,Jul,3,0.75,1.1,2.475,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Saturday,Jul,10,0.75,1.1,8.25,25.0
Charlotte->South Florida,Light Jet,13:00-15:59,Saturday,Jul,6,0.75,1.1,4.95,5.0
Charlotte->South Florida,Light Jet,16:00-18:59,Saturday,Jul,4,0.75,1.1,3.3000000000000003,0.0
Charlotte->South Florida,Light Jet,19:00-23:59,Saturday,Jul,1,0.75,1.1,0.8250000000000001,-15.0
Charlotte->South Florida,Light Jet,00:00-06:59,Sunday,Jul,1,0.75,1.1,0.8250000000000001,-15.0
Charlotte->South Florida,Light Jet,07:00-08:59,Sunday,Jul,3,0.75,1.1,2.475,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Sunday,Jul,10,0.75,1.1,8.25,25.0
Charlotte->South Florida,Light Jet,13:00-15:59,Sunday,Jul,10,0.75,1.1,8.25,25.0
Charlotte->South Florida,Light Jet,16:00-18:59,Sunday,Jul,7,0.75,1.1,5.775,10.0
Charlotte->South Florida,Light Jet,19:00-23:59,Sunday,Jul,1,0.75,1.1,0.8250000000000001,-15.0
Charlotte->South Florida,Light Jet,00:00-06:59,Monday,Jun,1,0.9,1.1,0.9900000000000001,-15.0
Charlotte->South Florida,Light Jet,07:00-08:59,Monday,Jun,3,0.9,1.1,2.9700000000000006,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Monday,Jun,10,0.9,1.1,9.9,35.0
