cluster_label,corridor,month,density_pct,seasonality_index,slab,intensity
core-utilization,Atlanta -> Boston,Feb,0.021367521367521368,0.0026,< 4%,0.0
multi-peak-directional,Atlanta -> Chicago,Feb,0.056105610561056105,0.0067,4% - 6%,1.0
multi-peak-directional,Atlanta -> DMV,Feb,0.0763888888888889,0.0092,6% - 9%,2.0
winter-spring-peak,Atlanta -> Dallas,Feb,0.07445255474452554,0.0089,6% - 9%,2.0
multi-peak-directional,Atlanta -> Denver,Feb,0.10784313725490197,0.0129,9% - 12%,3.0
summer-peak,Atlanta -> Detroit,Feb,0.053763440860215055,0.0065,4% - 6%,1.0
winter-spring-peak,Atlanta -> Houston,Feb,0.08895705521472393,0.0107,6% - 9%,2.0
multi-peak-directional,Atlanta -> Minneapolis,Feb,0.06589147286821706,0.0079,6% - 9%,2.0
multi-peak-directional,Atlanta -> New York City,Feb,0.05198776758409786,0.0062,4% - 6%,1.0
multi-peak-directional,Atlanta -> North Florida,Feb,0.09302325581395349,0.0112,9% - 12%,3.0
core-utilization,Atlanta -> Philadelphia,Feb,0.046875,0.0056,4% - 6%,1.0
summer-peak,Atlanta -> Phoenix Valley,Feb,0.029411764705882353,0.0035,< 4%,0.0
core-utilization,Atlanta -> Pittsburgh,Feb,0.04,0.0048,< 4%,0.0
multi-peak-directional,Atlanta -> San Antonio,Feb,0.045454545454545456,0.0055,4% - 6%,1.0
winter-spring-peak,Atlanta -> South Florida,Feb,0.08560794044665013,0.0103,6% - 9%,2.0
winter-spring-peak,Atlanta -> St. Louis,Feb,0.0933852140077821,0.0112,9% - 12%,3.0
core-utilization,Bay Area -> Chicago,Feb,0.09523809523809523,0.0114,9% - 12%,3.0
multi-peak-directional,Bay Area -> Dallas,Feb,0.05907172995780591,0.0071,4% - 6%,1.0
summer-peak,Bay Area -> Denver,Feb,0.0843585237258348,0.0101,6% - 9%,2.0
winter-spring-peak,Bay Area -> Houston,Feb,0.08888888888888889,0.0107,6% - 9%,2.0
multi-peak-directional,Bay Area -> LA Basin,Feb,0.05357142857142857,0.0064,4% - 6%,1.0
core-utilization,Bay Area -> Minneapolis,Feb,0.06930693069306931,0.0083,6% - 9%,2.0
multi-peak-directional,Bay Area -> Phoenix Valley,Feb,0.08620689655172414,0.0103,6% - 9%,2.0
multi-peak-directional,Bay Area -> San Antonio,Feb,0.0673076923076923,0.0081,6% - 9%,2.0
multi-peak-directional,Bay Area -> Seattle,Feb,0.04006677796327212,0.0048,4% - 6%,1.0
core-utilization,Bay Area -> St. Louis,Feb,0.012048192771084338,0.0014,< 4%,0.0
core-utilization,Boston -> Atlanta,Feb,0.029914529914529916,0.0036,< 4%,0.0
core-utilization,Boston -> Charlotte,Feb,0.04590818363273453,0.0055,4% - 6%,1.0
core-utilization,Boston -> Chicago,Feb,0.04681647940074907,0.0056,4% - 6%,1.0
summer-peak,Boston -> DMV,Feb,0.06321839080459771,0.0076,6% - 9%,2.0
core-utilization,Boston -> Dallas,Feb,0.07246376811594203,0.0087,6% - 9%,2.0
multi-peak-directional,Boston -> Denver,Feb,0.0625,0.0075,6% - 9%,2.0
summer-peak,Boston -> Detroit,Feb,0.0634441087613293,0.0076,6% - 9%,2.0
core-utilization,Boston -> Houston,Feb,0.0851063829787234,0.0102,6% - 9%,2.0
summer-peak,Boston -> Minneapolis,Feb,0.03759398496240601,0.0045,< 4%,0.0
summer-peak,Boston -> Nashville,Feb,0.057971014492753624,0.007,4% - 6%,1.0
multi-peak-directional,Boston -> North Florida,Feb,0.04417670682730924,0.0053,4% - 6%,1.0
summer-peak,Boston -> Pittsburgh,Feb,0.044444444444444446,0.0053,4% - 6%,1.0
multi-peak-directional,Boston -> South Florida,Feb,0.10013717421124829,0.012,9% - 12%,3.0
core-utilization,Boston -> St. Louis,Feb,0.03,0.0036,< 4%,0.0
winter-spring-peak,Charlotte -> Atlanta,Feb,0.058823529411764705,0.0071,4% - 6%,1.0
summer-peak,Charlotte -> Boston,Feb,0.038461538461538464,0.0046,< 4%,0.0
multi-peak-directional,Charlotte -> Chicago,Feb,0.07008086253369272,0.0084,6% - 9%,2.0
multi-peak-directional,Charlotte -> Dallas,Feb,0.0700280112044818,0.0084,6% - 9%,2.0
summer-peak,Charlotte -> Denver,Feb,0.0547945205479452,0.0066,4% - 6%,1.0
core-utilization,Charlotte -> Detroit,Feb,0.04285714285714286,0.0051,4% - 6%,1.0
multi-peak-directional,Charlotte -> Houston,Feb,0.07796610169491526,0.0094,6% - 9%,2.0
core-utilization,Charlotte -> Minneapolis,Feb,0.02702702702702703,0.0032,< 4%,0.0
winter-spring-peak,Charlotte -> Nashville,Feb,0.06451612903225806,0.0077,6% - 9%,2.0
core-utilization,Charlotte -> New York City,Feb,0.05400696864111498,0.0065,4% - 6%,1.0
winter-spring-peak,Charlotte -> North Florida,Feb,0.1724137931034483,0.0207,> 15%,5.0
core-utilization,Charlotte -> Philadelphia,Feb,0.0,0.0,,
core-utilization,Charlotte -> Pittsburgh,Feb,0.034482758620689655,0.0041,< 4%,0.0
multi-peak-directional,Charlotte -> San Antonio,Feb,0.030612244897959183,0.0037,< 4%,0.0
winter-spring-peak,Charlotte -> South Florida,Feb,0.08153701968134958,0.0098,6% - 9%,2.0
multi-peak-directional,Charlotte -> St. Louis,Feb,0.08333333333333333,0.01,6% - 9%,2.0
multi-peak-directional,Chicago -> Atlanta,Feb,0.05714285714285714,0.0069,4% - 6%,1.0
core-utilization,Chicago -> Boston,Feb,0.03488372093023256,0.0042,< 4%,0.0
core-utilization,Chicago -> Charlotte,Feb,0.038135593220338986,0.0046,< 4%,0.0
core-utilization,Chicago -> DMV,Feb,0.03225806451612903,0.0039,< 4%,0.0
multi-peak-directional,Chicago -> Dallas,Feb,0.06485355648535565,0.0078,6% - 9%,2.0
multi-peak-directional,Chicago -> Denver,Feb,0.07534983853606028,0.009,6% - 9%,2.0
winter-spring-peak,Chicago -> Houston,Feb,0.06465517241379311,0.0078,6% - 9%,2.0
core-utilization,Chicago -> LA Basin,Feb,0.04225352112676056,0.0051,4% - 6%,1.0
summer-peak,Chicago -> Minneapolis,Feb,0.0761904761904762,0.0091,6% - 9%,2.0
multi-peak-directional,Chicago -> Nashville,Feb,0.03571428571428571,0.0043,< 4%,0.0
core-utilization,Chicago -> New York City,Feb,0.053069719042663895,0.0064,4% - 6%,1.0
multi-peak-directional,Chicago -> North Florida,Feb,0.07822410147991543,0.0094,6% - 9%,2.0
core-utilization,Chicago -> Philadelphia,Feb,0.04,0.0048,< 4%,0.0
multi-peak-directional,Chicago -> Phoenix Valley,Feb,0.08695652173913043,0.0104,6% - 9%,2.0
multi-peak-directional,Chicago -> San Antonio,Feb,0.059880239520958084,0.0072,4% - 6%,1.0
core-utilization,Chicago -> Seattle,Feb,0.03614457831325301,0.0043,< 4%,0.0
winter-spring-peak,Chicago -> South Florida,Feb,0.11960943856794141,0.0144,9% - 12%,3.0
multi-peak-directional,Chicago -> St. Louis,Feb,0.09782608695652174,0.0117,9% - 12%,3.0
winter-spring-peak,DMV -> Atlanta,Feb,0.07531380753138076,0.009,6% - 9%,2.0
core-utilization,DMV -> Boston,Feb,0.10810810810810811,0.013,9% - 12%,3.0
multi-peak-directional,DMV -> Chicago,Feb,0.08157894736842106,0.0098,6% - 9%,2.0
multi-peak-directional,DMV -> Dallas,Feb,0.050505050505050504,0.0061,4% - 6%,1.0
multi-peak-directional,DMV -> Denver,Feb,0.0,0.0,,
summer-peak,DMV -> Detroit,Feb,0.06666666666666667,0.008,6% - 9%,2.0
multi-peak-directional,DMV -> Houston,Feb,0.12295081967213115,0.0148,12% - 15%,4.0
core-utilization,DMV -> Minneapolis,Feb,0.03676470588235294,0.0044,< 4%,0.0
winter-spring-peak,DMV -> Nashville,Feb,0.06282722513089005,0.0075,6% - 9%,2.0
winter-spring-peak,DMV -> North Florida,Feb,0.08488063660477453,0.0102,6% - 9%,2.0
core-utilization,DMV -> San Antonio,Feb,0.12244897959183673,0.0147,12% - 15%,4.0
winter-spring-peak,DMV -> South Florida,Feb,0.10224215246636771,0.0123,9% - 12%,3.0
multi-peak-directional,DMV -> St. Louis,Feb,0.06224066390041494,0.0075,6% - 9%,2.0
multi-peak-directional,Dallas -> Atlanta,Feb,0.06340057636887608,0.0076,6% - 9%,2.0
multi-peak-directional,Dallas -> Bay Area,Feb,0.0730593607305936,0.0088,6% - 9%,2.0
core-utilization,Dallas -> Boston,Feb,0.023255813953488372,0.0028,< 4%,0.0
multi-peak-directional,Dallas -> Charlotte,Feb,0.05,0.006,4% - 6%,1.0
multi-peak-directional,Dallas -> Chicago,Feb,0.07106598984771574,0.0085,6% - 9%,2.0
multi-peak-directional,Dallas -> DMV,Feb,0.05405405405405406,0.0065,4% - 6%,1.0
multi-peak-directional,Dallas -> Denver,Feb,0.08028399781540142,0.0096,6% - 9%,2.0
summer-peak,Dallas -> Detroit,Feb,0.05555555555555555,0.0067,4% - 6%,1.0
summer-peak,Dallas -> Houston,Feb,0.061224489795918366,0.0073,6% - 9%,2.0
multi-peak-directional,Dallas -> LA Basin,Feb,0.07571801566579635,0.0091,6% - 9%,2.0
core-utilization,Dallas -> Minneapolis,Feb,0.037037037037037035,0.0044,< 4%,0.0
summer-peak,Dallas -> Nashville,Feb,0.02512562814070352,0.003,< 4%,0.0
multi-peak-directional,Dallas -> New York City,Feb,0.0625,0.0075,6% - 9%,2.0
multi-peak-directional,Dallas -> North Florida,Feb,0.0957683741648107,0.0115,9% - 12%,3.0
multi-peak-directional,Dallas -> Philadelphia,Feb,0.0,0.0,,
winter-spring-peak,Dallas -> Phoenix Valley,Feb,0.11202635914332784,0.0134,9% - 12%,3.0
core-utilization,Dallas -> Pittsburgh,Feb,0.07964601769911504,0.0096,6% - 9%,2.0
winter-spring-peak,Dallas -> San Antonio,Feb,0.11290322580645161,0.0135,9% - 12%,3.0
summer-peak,Dallas -> Seattle,Feb,0.10416666666666667,0.0125,9% - 12%,3.0
winter-spring-peak,Dallas -> South Florida,Feb,0.12116564417177914,0.0145,12% - 15%,4.0
multi-peak-directional,Dallas -> St. Louis,Feb,0.14,0.0168,12% - 15%,4.0
multi-peak-directional,Denver -> Atlanta,Feb,0.07539682539682539,0.009,6% - 9%,2.0
