cluster_label,corridor
core-utilization,LA Basin -> South Florida
core-utilization,LA Basin -> South Florida
core-utilization,LA Basin -> South Florida
core-utilization,LA Basin -> South Florida
core-utilization,LA Basin -> South Florida
core-utilization,LA Basin -> South Florida
core-utilization,Minneapolis -> Phoenix Valley
core-utilization,Minneapolis -> Phoenix Valley
core-utilization,Minneapolis -> Phoenix Valley
core-utilization,Minneapolis -> Phoenix Valley
core-utilization,Minneapolis -> Phoenix Valley
core-utilization,Minneapolis -> Phoenix Valley
core-utilization,Minneapolis -> Phoenix Valley
core-utilization,Minneapolis -> Phoenix Valley
core-utilization,Minneapolis -> Phoenix Valley
core-utilization,Minneapolis -> Phoenix Valley
core-utilization,Minneapolis -> Phoenix Valley
core-utilization,Minneapolis -> Phoenix Valley
core-utilization,Minneapolis -> South Florida
core-utilization,Minneapolis -> South Florida
core-utilization,Minneapolis -> South Florida
core-utilization,Minneapolis -> South Florida
core-utilization,Minneapolis -> South Florida
core-utilization,Minneapolis -> South Florida
core-utilization,Minneapolis -> South Florida
core-utilization,Minneapolis -> South Florida
core-utilization,Minneapolis -> South Florida
core-utilization,Minneapolis -> South Florida
core-utilization,Minneapolis -> South Florida
core-utilization,Minneapolis -> South Florida
core-utilization,Nashville -> South Florida
core-utilization,Nashville -> South Florida
core-utilization,Nashville -> South Florida
core-utilization,Nashville -> South Florida
core-utilization,Nashville -> South Florida
core-utilization,Nashville -> South Florida
core-utilization,Nashville -> South Florida
core-utilization,Nashville -> South Florida
core-utilization,Nashville -> South Florida
core-utilization,Nashville -> South Florida
core-utilization,Nashville -> South Florida
core-utilization,Nashville -> South Florida
core-utilization,Nashville -> St. Louis
core-utilization,Nashville -> St. Louis
core-utilization,Nashville -> St. Louis
core-utilization,Nashville -> St. Louis
core-utilization,Nashville -> St. Louis
core-utilization,Nashville -> St. Louis
core-utilization,Nashville -> St. Louis
core-utilization,Nashville -> St. Louis
core-utilization,Nashville -> St. Louis
core-utilization,Nashville -> St. Louis
core-utilization,Nashville -> St. Louis
core-utilization,Nashville -> St. Louis
core-utilization,New York City -> Pittsburgh
core-utilization,New York City -> Pittsburgh
core-utilization,New York City -> Pittsburgh
core-utilization,New York City -> Pittsburgh
core-utilization,New York City -> Pittsburgh
core-utilization,New York City -> Pittsburgh
core-utilization,New York City -> Pittsburgh
core-utilization,New York City -> Pittsburgh
core-utilization,New York City -> Pittsburgh
core-utilization,New York City -> Pittsburgh
core-utilization,New York City -> Pittsburgh
core-utilization,New York City -> Pittsburgh
core-utilization,New York City -> South Florida
core-utilization,New York City -> South Florida
core-utilization,New York City -> South Florida
core-utilization,New York City -> South Florida
core-utilization,New York City -> South Florida
core-utilization,New York City -> South Florida
core-utilization,New York City -> South Florida
core-utilization,New York City -> South Florida
core-utilization,New York City -> South Florida
core-utilization,New York City -> South Florida
core-utilization,New York City -> South Florida
core-utilization,New York City -> South Florida
core-utilization,North Florida -> Atlanta
core-utilization,North Florida -> Atlanta
core-utilization,North Florida -> Atlanta
core-utilization,North Florida -> Atlanta
core-utilization,North Florida -> Atlanta
core-utilization,North Florida -> Atlanta
core-utilization,North Florida -> Atlanta
core-utilization,North Florida -> Atlanta
core-utilization,North Florida -> Atlanta
core-utilization,North Florida -> Atlanta
core-utilization,North Florida -> Atlanta
core-utilization,North Florida -> Atlanta
core-utilization,North Florida -> Charlotte
core-utilization,North Florida -> Charlotte
core-utilization,North Florida -> Charlotte
core-utilization,North Florida -> Charlotte
core-utilization,North Florida -> Charlotte
core-utilization,North Florida -> Charlotte
core-utilization,North Florida -> Charlotte
core-utilization,North Florida -> Charlotte
core-utilization,North Florida -> Charlotte
core-utilization,North Florida -> Charlotte
core-utilization,North Florida -> Charlotte
core-utilization,North Florida -> Charlotte
core-utilization,North Florida -> Houston
core-utilization,North Florida -> Houston
core-utilization,North Florida -> Houston
core-utilization,North Florida -> Houston
core-utilization,North Florida -> Houston
core-utilization,North Florida -> Houston
core-utilization,North Florida -> Houston
core-utilization,North Florida -> Houston
core-utilization,North Florida -> Houston
core-utilization,North Florida -> Houston
core-utilization,North Florida -> Houston
core-utilization,North Florida -> Houston
core-utilization,North Florida -> Minneapolis
core-utilization,North Florida -> Minneapolis
core-utilization,North Florida -> Minneapolis
core-utilization,North Florida -> Minneapolis
core-utilization,North Florida -> Minneapolis
core-utilization,North Florida -> Minneapolis
core-utilization,North Florida -> Minneapolis
core-utilization,North Florida -> Minneapolis
core-utilization,North Florida -> Minneapolis
core-utilization,North Florida -> Minneapolis
core-utilization,North Florida -> Minneapolis
core-utilization,North Florida -> Minneapolis
core-utilization,North Florida -> San Antonio
core-utilization,North Florida -> San Antonio
core-utilization,North Florida -> San Antonio
core-utilization,North Florida -> San Antonio
core-utilization,North Florida -> San Antonio
core-utilization,North Florida -> San Antonio
core-utilization,North Florida -> San Antonio
core-utilization,North Florida -> San Antonio
core-utilization,North Florida -> San Antonio
core-utilization,North Florida -> San Antonio
core-utilization,North Florida -> San Antonio
core-utilization,North Florida -> San Antonio
core-utilization,Philadelphia -> South Florida
core-utilization,Philadelphia -> South Florida
core-utilization,Philadelphia -> South Florida
core-utilization,Philadelphia -> South Florida
core-utilization,Philadelphia -> South Florida
