corridor,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,cluster_id,cluster_label,annual_missions
Seattle -> Chicago,3.49,2.33,3.49,10.47,4.65,11.63,15.12,11.63,11.63,6.98,9.3,9.3,1,summer-peak,43.0
Seattle -> St. Louis,3.57,7.14,4.76,5.95,5.95,13.1,14.29,8.33,14.29,8.33,5.95,8.33,1,summer-peak,42.0
North Florida -> Denver,7.23,8.43,13.25,2.41,9.64,14.46,13.25,6.02,13.25,3.61,4.82,3.61,1,summer-peak,41.5
Charlotte -> Denver,5.48,5.48,6.85,6.85,10.96,9.59,12.33,9.59,16.44,8.22,1.37,6.85,1,summer-peak,36.5
St. Louis -> Seattle,6.94,5.56,2.78,4.17,6.94,8.33,19.44,6.94,16.67,6.94,8.33,6.94,1,summer-peak,36.0
LA Basin -> Phoenix Valley,8.7,5.8,4.35,7.25,11.59,4.35,17.39,8.7,10.14,7.25,4.35,10.14,1,summer-peak,34.5
Pittsburgh -> Boston,2.9,4.35,0.0,5.8,8.7,10.14,17.39,24.64,17.39,4.35,1.45,2.9,1,summer-peak,34.5
Minneapolis -> Chicago,7.58,3.03,4.55,6.06,9.09,13.64,16.67,6.06,9.09,10.61,10.61,3.03,1,summer-peak,33.0
Detroit -> Nashville,5.45,7.27,5.45,7.27,16.36,9.09,14.55,10.91,7.27,1.82,9.09,5.45,1,summer-peak,27.5
Denver -> Boston,9.62,1.92,5.77,3.85,7.69,11.54,25.0,7.69,3.85,9.62,9.62,3.85,1,summer-peak,26.0
Dallas -> Houston,0.0,6.12,8.16,6.12,14.29,10.2,20.41,2.04,8.16,2.04,10.2,12.24,1,summer-peak,24.5
DMV -> Detroit,2.22,6.67,2.22,8.89,8.89,6.67,33.33,2.22,4.44,8.89,11.11,4.44,1,summer-peak,22.5
Seattle -> San Antonio,4.44,4.44,0.0,4.44,17.78,6.67,15.56,6.67,13.33,20.0,2.22,4.44,1,summer-peak,22.5
Atlanta -> Phoenix Valley,14.71,2.94,2.94,11.76,8.82,2.94,23.53,0.0,8.82,8.82,8.82,5.88,1,summer-peak,17.0
Nashville -> Charlotte,2.94,0.0,2.94,5.88,17.65,8.82,8.82,17.65,20.59,5.88,5.88,2.94,1,summer-peak,17.0
Nashville -> Detroit,3.23,9.68,9.68,6.45,6.45,12.9,16.13,22.58,3.23,6.45,3.23,0.0,1,summer-peak,15.5
Detroit -> DMV,3.85,0.0,0.0,0.0,15.38,7.69,34.62,0.0,19.23,11.54,3.85,3.85,1,summer-peak,13.0
