rank,w_TI,w_SI,w_LI,lift,spearman,top_decile_rph,verdict
104,0.05,0.5,0.45,1.0459395415825385,0.019744620630482414,7296.5021349926255,Low Corr
105,0.25,0.4,0.35,1.045929956514553,0.029596943338597203,7296.435269302745,Low Corr
106,0.7,0.2,0.1,1.0458937059830142,0.04479420475901087,7296.182384628009,Low Corr
107,0.85,0.1,0.05,1.045818927790493,0.04299863567910834,7295.66072996281,Low Corr
108,0.4,0.3,0.3,1.0457981124461049,0.028659675094564678,7295.515521565259,Low Corr
109,0.0,0.6,0.4,1.0453124187037204,0.023587369227034197,7292.127309065999,Low Corr
110,0.65,0.2,0.15,1.0450578348178594,0.040890842483011836,7290.351325089038,Low Corr
111,0.1,0.5,0.4,1.0450126694826403,0.026562135975021547,7290.03625050609,Low Corr
112,0.8,0.15,0.05,1.0448416940907244,0.04477712670346803,7288.843521612546,Low Corr
113,0.6,0.2,0.2,1.044262805955645,0.03109696979205184,7284.805182544555,Low Corr
114,0.7,0.15,0.15,1.0439759116352698,0.03218527845826875,7282.803800114777,Low Corr
115,0.8,0.1,0.1,1.0437593090379882,0.033006674050463106,7281.292774619823,Low Corr
116,0.65,0.15,0.2,1.0437515925436271,0.02819231094585035,7281.23894414938,Low Corr
117,0.15,0.45,0.4,1.0437096925240232,0.023224918672241253,7280.946648495241,Low Corr
118,0.9,0.05,0.05,1.0435660900472452,0.03301492261168708,7279.944873787674,Low Corr
119,0.5,0.25,0.25,1.0435562875866589,0.03229261097130687,7279.876491561214,Low Corr
120,0.55,0.2,0.25,1.0432543548667943,0.02669275763068841,7277.770200855555,Low Corr
121,0.35,0.3,0.35,1.0425147844503047,0.026625019791226195,7272.610937907402,Low Corr
122,0.45,0.25,0.3,1.0423845991372884,0.025027301335827912,7271.702761692045,Low Corr
123,0.1,0.45,0.45,1.04230603505084,0.013230347178400723,7271.154696529849,Low Corr
124,0.15,0.4,0.45,1.041502629048468,0.01154403825244948,7265.5501148322255,Low Corr
125,0.6,0.15,0.25,1.0407704280527703,0.02215375076549105,7260.442261160046,Low Corr
126,0.4,0.25,0.35,1.040575852194508,0.020685922810673593,7259.084894783897,Low Corr
127,0.75,0.1,0.15,1.0402492193208646,0.030262268795921952,7256.806295146777,Low Corr
128,0.25,0.35,0.4,1.0397038699688728,0.016631029728155906,7253.001923524012,Low Corr
129,0.5,0.2,0.3,1.0395742960026668,0.018238393665297746,7252.098012080305,Low Corr
130,0.3,0.3,0.4,1.0395584585391002,0.010593971110629282,7251.987529512115,Low Corr
131,0.2,0.4,0.4,1.0393771649151187,0.018752260065678768,7250.722820356516,Low Corr
132,0.7,0.1,0.2,1.037873487600911,0.015548656752287553,7240.233127312828,Low Corr
133,0.05,0.45,0.5,1.0377547935783642,0.0027262798801856013,7239.4051146462325,Low Corr
134,0.1,0.4,0.5,1.0350110633840377,0.0007335809835552466,7220.264779641347,Low Corr
135,0.65,0.1,0.25,1.0350011383238567,0.009967854630212486,7220.195542156844,Low Corr
136,0.35,0.25,0.4,1.0346711834306406,0.0051520820327497965,7217.893768022595,Low Corr
137,0.0,0.5,0.5,1.0345227478628782,-0.0036258833675780026,7216.858277543434,Low Corr
138,0.45,0.2,0.35,1.0344932858264544,0.011430806845901798,7216.652749591653,Low Corr
139,0.85,0.05,0.1,1.0343470808891637,0.018552531474541955,7215.632820050149,Low Corr
140,0.65,0.05,0.3,1.0341942134507716,-0.0024784484448158273,7214.566412723286,Low Corr
141,0.6,0.1,0.3,1.0340930664161698,0.00570626522450156,7213.860808312535,Low Corr
142,0.75,0.05,0.2,1.0334577908590805,0.01019334263685934,7209.429109084876,Low Corr
143,0.7,0.05,0.25,1.0333101288479225,0.005282155607600926,7208.399014957215,Low Corr
144,0.8,0.05,0.15,1.0327212793052196,0.016751320208306848,7204.291184843994,Low Corr
145,0.0,0.45,0.55,1.0326779289117713,-0.0039991698860092,7203.988771343239,Low Corr
146,0.7,0.0,0.3,1.0325007747431094,-0.0051161452053849294,7202.75293913834,Low Corr
147,0.8,0.0,0.2,1.032053299293238,0.004415463689960237,7199.631338466849,Low Corr
148,0.2,0.35,0.45,1.032051351995793,0.0028464417426937506,7199.617754067943,Low Corr
149,0.95,0.0,0.05,1.031282035472322,0.003443916126133241,7194.250981484225,Low Corr
150,0.75,0.0,0.25,1.0308676087515742,0.0029268594847588303,7191.3599296284365,Low Corr
151,0.5,0.15,0.35,1.0308237913086764,0.0007712169636288937,7191.054257978266,Low Corr
152,0.9,0.0,0.1,1.0307362105885922,0.0034618968371489182,7190.443292539373,Low Corr
153,0.55,0.15,0.3,1.0305877227148659,-0.000991269269268843,7189.407437172413,Low Corr
154,0.25,0.3,0.45,1.0305739767060975,-0.0009244268584290528,7189.311544648669,Low Corr
155,0.55,0.1,0.35,1.0298853512076211,-0.0039432112704965196,7184.507674807166,Low Corr
156,0.3,0.25,0.45,1.0289057440732856,-0.004275963022635203,7177.673909314069,Low Corr
157,0.6,0.05,0.35,1.028866046397005,-0.010149487685850115,7177.396977265686,Low Corr
158,0.85,0.0,0.15,1.028316338735949,0.003918749304789691,7173.562201962663,Low Corr
159,0.25,0.25,0.5,1.0275553497087992,-0.02001215435215495,7168.253522215357,Low Corr
160,0.25,0.2,0.55,1.0275385161876474,-0.03822599039952043,7168.1360911228885,Low Corr
161,0.35,0.2,0.45,1.0273378315062622,-0.021067034185733437,7166.736109433725,Low Corr
162,0.3,0.2,0.5,1.0273355111275475,-0.025380818498177887,7166.719922409931,Low Corr
163,0.35,0.15,0.5,1.0268290129083237,-0.03324207436079822,7163.18657732543,Low Corr
164,0.5,0.05,0.45,1.0263928954142825,-0.028970726340887307,7160.144210056702,Low Corr
165,0.3,0.15,0.55,1.0261365636617885,-0.039835550642010255,7158.356032915499,Low Corr
166,0.5,0.1,0.4,1.025746186130509,-0.018980738271377397,7155.632748846781,Low Corr
167,0.6,0.0,0.4,1.0253256340075294,-0.025975690163525425,7152.698966021672,Low Corr
168,0.55,0.05,0.4,1.0251905431444728,-0.02311969659544796,7151.756568558412,Low Corr
169,0.4,0.2,0.4,1.0251480410965852,-0.0023886133433148994,7151.460073138913,Low Corr
170,0.45,0.15,0.4,1.0245014535368229,-0.00986669712516235,7146.949461078939,Low Corr
171,0.55,0.0,0.45,1.024272606784017,-0.031918937040593676,7145.353020028525,Low Corr
172,0.2,0.25,0.55,1.0240185133696542,-0.029238009230734403,7143.5804575938155,Low Corr
173,0.15,0.35,0.5,1.0238174821768233,-0.004682677732406731,7142.178058631567,Low Corr
174,0.25,0.1,0.65,1.023753992990449,-0.07142021475540461,7141.735156374301,Low Corr
175,0.2,0.3,0.5,1.0236236909701553,-0.012137234597323318,7140.826166005864,Low Corr
176,0.25,0.15,0.6,1.0235919999778527,-0.058279858370017756,7140.605088798431,Low Corr
177,0.5,0.0,0.5,1.02349867369623,-0.03193635352617275,7139.9540421690235,Low Corr
178,0.3,0.1,0.6,1.0229019278971472,-0.05964907638238502,7135.791127560721,Low Corr
179,0.45,0.1,0.45,1.0226295955266842,-0.02664646864536664,7133.8913296818655,Low Corr
180,0.4,0.1,0.5,1.0218559543305648,-0.04236157952595801,7128.494388066423,Low Corr
181,0.05,0.4,0.55,1.0218146934875243,-0.004574469788023886,7128.206551325035,Low Corr
182,0.4,0.15,0.45,1.0217542950421514,-0.02620173437487676,7127.785210159421,Low Corr
183,0.3,0.05,0.65,1.0216459777230424,-0.07654085672247087,7127.029585652731,Low Corr
184,0.35,0.1,0.55,1.0214391122119209,-0.04556240067688113,7125.586486330498,Low Corr
185,0.2,0.2,0.6,1.021220899755964,-0.05019578793359622,7124.064230418495,Low Corr
186,0.35,0.05,0.6,1.0211882885079204,-0.06670592746632781,7123.836733482473,Low Corr
187,0.65,0.0,0.35,1.0209716038297143,-0.02678704180551864,7122.325135388802,Low Corr
188,0.25,0.05,0.7,1.0209683458660859,-0.08173696467441505,7122.3024077476475,Low Corr
189,0.4,0.05,0.55,1.0196638291751512,-0.05795790055170862,7113.202064523089,Low Corr
190,0.45,0.05,0.5,1.0194536848028564,-0.04473877570586927,7111.7360917778715,Low Corr
191,0.45,0.0,0.55,1.0186242401348178,-0.07126984807165455,7105.949863654165,Low Corr
192,0.25,0.0,0.75,1.0168465573966905,-0.09233551010939949,7093.548701466089,Low Corr
193,0.4,0.0,0.6,1.0159864995586787,-0.07193403744011227,7087.5489150522635,Low Corr
194,0.1,0.35,0.55,1.015906085517299,-0.00862702507144649,7086.987944555133,Low Corr
195,0.0,0.4,0.6,1.0157358532167233,-0.01065635968441884,7085.800399486596,Low Corr
196,0.35,0.0,0.65,1.0155668616790674,-0.0762649644665701,7084.621510013273,Low Corr
197,0.15,0.25,0.6,1.0154545488945772,-0.035480498712874106,7083.8380130335345,Low Corr
