AircraftType,corridor,month,density_pct,cluster_label,slab,intensity
Light Jet,DMV -> Nashville,Sep,6.81,winter-spring-peak,6%-9%,2
Light Jet,DMV -> Nashville,Oct,8.9,winter-spring-peak,6%-9%,2
Light Jet,DMV -> Nashville,Nov,9.42,winter-spring-peak,9%-12%,3
Light Jet,DMV -> Nashville,Dec,8.38,winter-spring-peak,6%-9%,2
Light Jet,DMV -> North Florida,Jan,9.55,winter-spring-peak,9%-12%,3
Light Jet,DMV -> North Florida,Feb,8.49,winter-spring-peak,6%-9%,2
Light Jet,DMV -> North Florida,Mar,10.88,winter-spring-peak,9%-12%,3
Light Jet,DMV -> North Florida,Apr,7.96,winter-spring-peak,6%-9%,2
Light Jet,DMV -> North Florida,May,13.79,winter-spring-peak,12%-15%,4
Light Jet,DMV -> North Florida,Jun,5.31,winter-spring-peak,4%-6%,1
Light Jet,DMV -> North Florida,Jul,5.04,winter-spring-peak,4%-6%,1
Light Jet,DMV -> North Florida,Aug,2.39,winter-spring-peak,< 4%,0
Light Jet,DMV -> North Florida,Sep,7.69,winter-spring-peak,6%-9%,2
Light Jet,DMV -> North Florida,Oct,9.55,winter-spring-peak,9%-12%,3
Light Jet,DMV -> North Florida,Nov,10.88,winter-spring-peak,9%-12%,3
Light Jet,DMV -> North Florida,Dec,8.49,winter-spring-peak,6%-9%,2
Light Jet,DMV -> South Florida,Jan,11.39,winter-spring-peak,9%-12%,3
Light Jet,DMV -> South Florida,Feb,10.22,winter-spring-peak,9%-12%,3
Light Jet,DMV -> South Florida,Mar,10.49,winter-spring-peak,9%-12%,3
Light Jet,DMV -> South Florida,Apr,9.78,winter-spring-peak,9%-12%,3
Light Jet,DMV -> South Florida,May,8.34,winter-spring-peak,6%-9%,2
Light Jet,DMV -> South Florida,Jun,5.92,winter-spring-peak,4%-6%,1
Light Jet,DMV -> South Florida,Jul,4.22,winter-spring-peak,4%-6%,1
Light Jet,DMV -> South Florida,Aug,4.48,winter-spring-peak,4%-6%,1
Light Jet,DMV -> South Florida,Sep,4.13,winter-spring-peak,4%-6%,1
Light Jet,DMV -> South Florida,Oct,7.53,winter-spring-peak,6%-9%,2
