AircraftType,corridor,month,seasonality_index,cluster_label,slab,intensity
Light Jet,Chicago -> New York City,Sep,1.39,core-utilization,1.3x-1.6x,4
Light Jet,Chicago -> New York City,Oct,1.35,core-utilization,1.3x-1.6x,4
Light Jet,Chicago -> New York City,Nov,1.11,core-utilization,1.0x-1.3x,3
Light Jet,Chicago -> New York City,Dec,0.75,core-utilization,0.7x-1.0x,2
Light Jet,Chicago -> Philadelphia,Jan,0.27,core-utilization,< 0.5x,0
Light Jet,Chicago -> Philadelphia,Feb,0.48,core-utilization,< 0.5x,0
Light Jet,Chicago -> Philadelphia,Mar,0.89,core-utilization,0.7x-1.0x,2
Light Jet,Chicago -> Philadelphia,Apr,0.82,core-utilization,0.7x-1.0x,2
Light Jet,Chicago -> Philadelphia,May,1.17,core-utilization,1.0x-1.3x,3
Light Jet,Chicago -> Philadelphia,Jun,1.17,core-utilization,1.0x-1.3x,3
Light Jet,Chicago -> Philadelphia,Jul,0.82,core-utilization,0.7x-1.0x,2
Light Jet,Chicago -> Philadelphia,Aug,1.71,core-utilization,>= 1.6x,5
Light Jet,Chicago -> Philadelphia,Sep,1.65,core-utilization,>= 1.6x,5
Light Jet,Chicago -> Philadelphia,Oct,1.23,core-utilization,1.0x-1.3x,3
Light Jet,Chicago -> Philadelphia,Nov,1.17,core-utilization,1.0x-1.3x,3
Light Jet,Chicago -> Philadelphia,Dec,0.62,core-utilization,0.5x-0.7x,1
Light Jet,Chicago -> Seattle,Jan,0.58,core-utilization,0.5x-0.7x,1
Light Jet,Chicago -> Seattle,Feb,0.43,core-utilization,< 0.5x,0
Light Jet,Chicago -> Seattle,Mar,0.43,core-utilization,< 0.5x,0
Light Jet,Chicago -> Seattle,Apr,1.16,core-utilization,1.0x-1.3x,3
Light Jet,Chicago -> Seattle,May,0.87,core-utilization,0.7x-1.0x,2
Light Jet,Chicago -> Seattle,Jun,0.58,core-utilization,0.5x-0.7x,1
Light Jet,Chicago -> Seattle,Jul,1.3,core-utilization,1.3x-1.6x,4
Light Jet,Chicago -> Seattle,Aug,1.88,core-utilization,>= 1.6x,5
Light Jet,Chicago -> Seattle,Sep,1.16,core-utilization,1.0x-1.3x,3
Light Jet,Chicago -> Seattle,Oct,2.17,core-utilization,>= 1.6x,5
Light Jet,Chicago -> Seattle,Nov,0.58,core-utilization,0.5x-0.7x,1
Light Jet,Chicago -> Seattle,Dec,0.87,core-utilization,0.7x-1.0x,2
Light Jet,DMV -> Boston,Jan,0.32,core-utilization,< 0.5x,0
Light Jet,DMV -> Boston,Feb,1.3,core-utilization,1.3x-1.6x,4
Light Jet,DMV -> Boston,Mar,0.0,core-utilization,< 0.5x,0
Light Jet,DMV -> Boston,Apr,0.97,core-utilization,0.7x-1.0x,2
Light Jet,DMV -> Boston,May,0.65,core-utilization,0.5x-0.7x,1
Light Jet,DMV -> Boston,Jun,1.3,core-utilization,1.3x-1.6x,4
Light Jet,DMV -> Boston,Jul,1.3,core-utilization,1.3x-1.6x,4
Light Jet,DMV -> Boston,Aug,2.27,core-utilization,>= 1.6x,5
Light Jet,DMV -> Boston,Sep,1.3,core-utilization,1.3x-1.6x,4
Light Jet,DMV -> Boston,Oct,2.59,core-utilization,>= 1.6x,5
Light Jet,DMV -> Boston,Nov,0.0,core-utilization,< 0.5x,0
Light Jet,DMV -> Boston,Dec,0.0,core-utilization,< 0.5x,0
Light Jet,DMV -> Minneapolis,Jan,1.15,core-utilization,1.0x-1.3x,3
Light Jet,DMV -> Minneapolis,Feb,0.44,core-utilization,< 0.5x,0
