corridor,month,seasonality_index,cluster_label,slab,intensity
Denver -> Detroit,Jul,1.35,core-utilization,1.3x-1.6x,4
Denver -> Detroit,Aug,1.24,core-utilization,1.0x-1.3x,3
Denver -> Detroit,Sep,1.65,core-utilization,>= 1.6x,5
Denver -> Detroit,Oct,1.06,core-utilization,1.0x-1.3x,3
Denver -> Detroit,Nov,0.94,core-utilization,0.7x-1.0x,2
Denver -> Detroit,Dec,0.35,core-utilization,< 0.5x,0
Detroit -> Houston,Jan,0.7,core-utilization,0.7x-1.0x,2
Detroit -> Houston,Feb,0.7,core-utilization,0.7x-1.0x,2
Detroit -> Houston,Mar,0.7,core-utilization,0.7x-1.0x,2
Detroit -> Houston,Apr,1.26,core-utilization,1.0x-1.3x,3
Detroit -> Houston,May,1.26,core-utilization,1.0x-1.3x,3
